task_id,system,subsystem,location_or_asset,task_name,cadence,frequency_in_days,cadence_anchor,actor_type,amc_vendor,acceptance_criteria,evidence_required,reference_policy,nabh_standard_ref,priority_weight,draft_status,notes
FT-001,Fire Safety,Fire Panel,Main Fire Panel - GF,"Fire panel status — verify no faults, no zone disabled, all green indicators",daily,1,every day,in_house,,All zones green; no fault/disable/silence indicators; battery indicator OK,selfie+photo,Fire & Safety SOP,"FMS.1.a, FMS.1.c",90,proposed,Look for amber/red LEDs; if any zone disabled note reason in field
FT-002,Fire Safety,Egress,All Floors,"Walk emergency exits — confirm doors unlocked, unobstructed, exit signs illuminated",daily,1,every day,in_house,,Every exit door operates from inside without key; pathway clear; exit sign lit,selfie+photo,FMS.1.c,"FMS.1.a, FMS.1.c",95,proposed,Common failure: housekeeping stores boxes blocking exit. Immediate fix required.
FT-003,Fire Safety,Fire Extinguishers,All Floors,"Fire extinguisher visual — pressure gauge in green, pin & seal intact, not blocked",weekly,7,every Monday,in_house,,"All extinguishers: gauge green, pin sealed, mounting secure, signage above",selfie+photo+reading,Fire & Safety SOP,FMS.1.a,80,proposed,Capture extinguisher count per floor in notes. Refill due-date on label.
FT-004,Fire Safety,Fire Hose Reels,All Floors,"Hose reel inspection — hose intact, nozzle present, valve operational",weekly,7,every Monday,in_house,,"Hose unkinked, no cuts/cracks, nozzle attached, isolation valve open",selfie+photo,Fire & Safety SOP,FMS.1.a,70,proposed,
FT-005,Fire Safety,Smoke Detectors,Zone rotation,Smoke detector functional test — test one zone weekly so all zones tested monthly,weekly,7,rotating zones,in_house,,Detector activates on test spray/magnet; zone shows on panel; resets cleanly,selfie+photo,Fire & Safety SOP,FMS.1.a,75,proposed,Coordinate with nursing in advance to avoid panic. Mute panel during test.
FT-006,Fire Safety,Emergency Lights,All Floors,"Emergency light test — kill mains briefly, verify auto-on for 90 sec minimum",monthly,30,1st Monday,in_house,,All emergency lights illuminate within 5 sec of mains failure and stay lit ≥90s,selfie+photo,FMS.1.a,FMS.1.a,85,proposed,Test only outside critical patient hours.
FT-007,Fire Safety,Fire Extinguishers,All Floors,"Extinguisher pressure check — record gauge reading per unit, log refill due-dates",monthly,30,1st of month,in_house,,All units in green band; record next refill date; flag any in red band,selfie+photo+reading,Fire & Safety SOP,FMS.1.a,75,proposed,
FT-008,Fire Safety,Fire Pump,Pump Room,"Fire pump test run — start jockey + main pump, verify pressure rise, run 10 min",monthly,30,15th of month,in_house,,Jockey starts at preset low pressure; main pump starts on demand; no leaks at gland,selfie+photo+reading,Fire & Safety SOP,"FMS.1.a, FMS.4.c",85,proposed,
FT-009,Fire Safety,Fire Hydrant,All Floors,"Hydrant flow test — open valve, confirm pressure, no leakage at couplings",quarterly,90,1st month of quarter,in_house,,Pressure ≥3.5 kg/cm² at top floor hydrant; no coupling leaks,selfie+photo+reading,Fire & Safety SOP,FMS.1.a,80,proposed,
FT-010,Fire Safety,Fire Alarm System,Whole Building,"Fire alarm full system test — coordinate with FMS Committee, simulate alarm, verify all responses",quarterly,90,end of quarter,amc_supervised,Fire AMC vendor,Alarm sounds at all floors; voice evacuation message audible; panel logs event,selfie+vendor_report+next_due_date,Fire & Safety SOP,FMS.1.a,80,proposed,Notify all departments + nursing + admin at least 24h prior
